,entropy_raw,entropy_reduction,effective_entropy,reliability,ber,stability_param,voltage_ratio,temperature,storage_pattern,ecc_type,ecc_kwargs,aging_cycles,ecc_str,variation_type
41,0.9913533102170101,0.0625,0.9288533102170101,0.78796875,0.21203125,,0.8,25,optimized,Hamming,{},200,Hamming,environment
42,0.9886994082884974,0.125,0.8636994082884974,0.81078125,0.18921875,,0.8,25,optimized,BCH,{'t': 2},200,BCH(t=2),environment
43,0.9823166080205501,0.3125,0.6698166080205501,0.78625,0.21375,,0.8,25,optimized,BCH,{'t': 5},200,BCH(t=5),environment
44,0.9936507116910404,0.0,0.9936507116910404,0.68078125,0.31921875,,0.8,85,static,None,{},200,None,environment
45,0.9785844853199951,0.0625,0.9160844853199951,0.68265625,0.31734375,,0.8,85,static,Hamming,{},200,Hamming,environment
46,0.9936507116910404,0.125,0.8686507116910404,0.71015625,0.28984375,,0.8,85,static,BCH,{'t': 2},200,BCH(t=2),environment
47,0.9936507116910404,0.3125,0.6811507116910404,0.70390625,0.29609375,,0.8,85,static,BCH,{'t': 5},200,BCH(t=5),environment
48,0.9886994082884974,0.0,0.9886994082884974,0.71484375,0.28515625,,0.8,85,random,None,{},200,None,environment
49,0.9971803988942642,0.0625,0.9346803988942642,0.73265625,0.26734375,,0.8,85,random,Hamming,{},200,Hamming,environment
50,0.9913533102170101,0.125,0.8663533102170101,0.708125,0.291875,,0.8,85,random,BCH,{'t': 2},200,BCH(t=2),environment
51,0.9886994082884974,0.3125,0.6761994082884974,0.7112499999999999,0.28875,,0.8,85,random,BCH,{'t': 5},200,BCH(t=5),environment
52,0.9955927544527945,0.0,0.9955927544527945,0.7565625,0.2434375,,0.8,85,optimized,None,{},200,None,environment
53,1.0,0.0625,0.9375,0.725,0.275,,0.8,85,optimized,Hamming,{},200,Hamming,environment
54,0.9984144269374469,0.125,0.8734144269374469,0.7478125,0.2521875,,0.8,85,optimized,BCH,{'t': 2},200,BCH(t=2),environment
55,0.9984144269374469,0.3125,0.6859144269374469,0.7207812499999999,0.27921875,,0.8,85,optimized,BCH,{'t': 5},200,BCH(t=5),environment
56,0.9971803988942642,0.0,0.9971803988942642,0.7715625,0.2284375,,1.0,0,static,None,{},200,None,environment
57,0.9984144269374469,0.0625,0.9359144269374469,0.7696875,0.2303125,,1.0,0,static,Hamming,{},200,Hamming,environment
58,0.9913533102170101,0.125,0.8663533102170101,0.780625,0.219375,,1.0,0,static,BCH,{'t': 2},200,BCH(t=2),environment
59,0.9992954443621549,0.3125,0.6867954443621549,0.7893749999999999,0.210625,,1.0,0,static,BCH,{'t': 5},200,BCH(t=5),environment
60,0.9998238825988728,0.0,0.9998238825988728,0.77609375,0.22390625,,1.0,0,random,None,{},200,None,environment
61,0.985687679358613,0.0625,0.923187679358613,0.7846875,0.2153125,,1.0,0,random,Hamming,{},200,Hamming,environment
62,0.9886994082884974,0.125,0.8636994082884974,0.7934375,0.2065625,,1.0,0,random,BCH,{'t': 2},200,BCH(t=2),environment
63,0.9984144269374469,0.3125,0.6859144269374469,0.78359375,0.21640625,,1.0,0,random,BCH,{'t': 5},200,BCH(t=5),environment
64,0.9992954443621549,0.0,0.9992954443621549,0.81421875,0.18578125,,1.0,0,optimized,None,{},200,None,environment
65,0.9984144269374469,0.0625,0.9359144269374469,0.82765625,0.17234375,,1.0,0,optimized,Hamming,{},200,Hamming,environment
66,0.9936507116910404,0.125,0.8686507116910404,0.80859375,0.19140625,,1.0,0,optimized,BCH,{'t': 2},200,BCH(t=2),environment
